"SASUMMARY State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment"
05000,Arkansas,8,"  Real per capita personal income 4",(NA)
05000,Arkansas,9,"  Real per capita PCE 5",(NA)
05000,Arkansas,,Per capita current dollar statistics,
05000,Arkansas,10,"  Per capita personal income 6",59663
05000,Arkansas,11,"  Per capita disposable personal income 7",54003
05000,Arkansas,12,"  Per capita personal consumption expenditures (PCE) 8",(NA)
05000,Arkansas,,Price indexes,
05000,Arkansas,13,"  Regional price parities (RPPs) 9",(NA)
05000,Arkansas,14,"  Implicit regional price deflator 10",(NA)
05000,Arkansas,,Employment,
05000,Arkansas,15,"  Total employment (number of jobs)",(NA)
06000,California,,Real dollar statistics,
06000,California,1,"  Real GDP (millions of chained 2017 dollars) 1",3365083.3
06000,California,2,"  Real personal income (millions of constant (2017) dollars) 2",(NA)
06000,California,3,"  Real PCE (millions of constant (2017) dollars) 3",(NA)
06000,California,,Current dollar statistics (millions of dollars),
06000,California,4,"  Gross domestic product (GDP)",4103123.6
06000,California,5,"  Personal income",3372090.5
06000,California,6,"  Disposable personal income",2868064.1
06000,California,7,"  Personal consumption expenditures",(NA)
06000,California,,Real per capita dollar statistics (constant 2017 dollars),
06000,California,8,"  Real per capita personal income 4",(NA)
06000,California,9,"  Real per capita PCE 5",(NA)
06000,California,,Per capita current dollar statistics,
06000,California,10,"  Per capita personal income 6",85518
06000,California,11,"  Per capita disposable personal income 7",72736
06000,California,12,"  Per capita personal consumption expenditures (PCE) 8",(NA)
06000,California,,Price indexes,
06000,California,13,"  Regional price parities (RPPs) 9",(NA)
06000,California,14,"  Implicit regional price deflator 10",(NA)
06000,California,,Employment,
06000,California,15,"  Total employment (number of jobs)",(NA)
08000,Colorado,,Real dollar statistics,
08000,Colorado,1,"  Real GDP (millions of chained 2017 dollars) 1",445302.4
08000,Colorado,2,"  Real personal income (millions of constant (2017) dollars) 2",(NA)
08000,Colorado,3,"  Real PCE (millions of constant (2017) dollars) 3",(NA)
08000,Colorado,,Current dollar statistics (millions of dollars),
08000,Colorado,4,"  Gross domestic product (GDP)",553322.5
08000,Colorado,5,"  Personal income",492711.9
08000,Colorado,6,"  Disposable personal income",431183.6
08000,Colorado,7,"  Personal consumption expenditures",(NA)
08000,Colorado,,Real per capita dollar statistics (constant 2017 dollars),
08000,Colorado,8,"  Real per capita personal income 4",(NA)
08000,Colorado,9,"  Real per capita PCE 5",(NA)
08000,Colorado,,Per capita current dollar statistics,
08000,Colorado,10,"  Per capita personal income 6",82705
08000,Colorado,11,"  Per capita disposable personal income 7",72377
08000,Colorado,12,"  Per capita personal consumption expenditures (PCE) 8",(NA)
08000,Colorado,,Price indexes,
08000,Colorado,13,"  Regional price parities (RPPs) 9",(NA)
08000,Colorado,14,"  Implicit regional price deflator 10",(NA)
08000,Colorado,,Employment,
08000,Colorado,15,"  Total employment (number of jobs)",(NA)
09000,Connecticut,,Real dollar statistics,
09000,Connecticut,1,"  Real GDP (millions of chained 2017 dollars) 1",294027.6
09000,Connecticut,2,"  Real personal income (millions of constant (2017) dollars) 2",(NA)
09000,Connecticut,3,"  Real PCE (millions of constant (2017) dollars) 3",(NA)
09000,Connecticut,,Current dollar statistics (millions of dollars),
09000,Connecticut,4,"  Gross domestic product (GDP)",365723.1
09000,Connecticut,5,"  Personal income",342644.6
09000,Connecticut,6,"  Disposable personal income",289669.2
09000,Connecticut,7,"  Personal consumption expenditures",(NA)
09000,Connecticut,,Real per capita dollar statistics (constant 2017 dollars),
09000,Connecticut,8,"  Real per capita personal income 4",(NA)
09000,Connecticut,9,"  Real per capita PCE 5",(NA)
09000,Connecticut,,Per capita current dollar statistics,
09000,Connecticut,10,"  Per capita personal income 6",93235
09000,Connecticut,11,"  Per capita disposable personal income 7",78820
09000,Connecticut,12,"  Per capita personal consumption expenditures (PCE) 8",(NA)
09000,Connecticut,,Price indexes,
09000,Connecticut,13,"  Regional price parities (RPPs) 9",(NA)
09000,Connecticut,14,"  Implicit regional price deflator 10",(NA)
09000,Connecticut,,Employment,
09000,Connecticut,15,"  Total employment (number of jobs)",(NA)
10000,Delaware,,Real dollar statistics,
10000,Delaware,1,"  Real GDP (millions of chained 2017 dollars) 1",79652.7
10000,Delaware,2,"  Real personal income (millions of constant (2017) dollars) 2",(NA)
10000,Delaware,3,"  Real PCE (millions of constant (2017) dollars) 3",(NA)
10000,Delaware,,Current dollar statistics (millions of dollars),
10000,Delaware,4,"  Gross domestic product (GDP)",103253.3
10000,Delaware,5,"  Personal income",72879.1
10000,Delaware,6,"  Disposable personal income",63984.0
10000,Delaware,7,"  Personal consumption expenditures",(NA)
10000,Delaware,,Real per capita dollar statistics (constant 2017 dollars),
10000,Delaware,8,"  Real per capita personal income 4",(NA)
10000,Delaware,9,"  Real per capita PCE 5",(NA)
10000,Delaware,,Per capita current dollar statistics,
10000,Delaware,10,"  Per capita personal income 6",69282
10000,Delaware,11,"  Per capita disposable personal income 7",60826
10000,Delaware,12,"  Per capita personal consumption expenditures (PCE) 8",(NA)
10000,Delaware,,Price indexes,
10000,Delaware,13,"  Regional price parities (RPPs) 9",(NA)
10000,Delaware,14,"  Implicit regional price deflator 10",(NA)
10000,Delaware,,Employment,
10000,Delaware,15,"  Total employment (number of jobs)",(NA)
11000,District of Columbia,,Real dollar statistics,
11000,District of Columbia,1,"  Real GDP (millions of chained 2017 dollars) 1",148020.1
11000,District of Columbia,2,"  Real personal income (millions of constant (2017) dollars) 2",(NA)
11000,District of Columbia,3,"  Real PCE (millions of constant (2017) dollars) 3",(NA)
11000,District of Columbia,,Current dollar statistics (millions of dollars),
11000,District of Columbia,4,"  Gross domestic product (GDP)",186165.0
11000,District of Columbia,5,"  Personal income",76006.9
11000,District of Columbia,6,"  Disposable personal income",63722.5
11000,District of Columbia,7,"  Personal consumption expenditures",(NA)
11000,District of Columbia,,Real per capita dollar statistics (constant 2017 dollars),
11000,District of Columbia,8,"  Real per capita personal income 4",(NA)
11000,District of Columbia,9,"  Real per capita PCE 5",(NA)
11000,District of Columbia,,Per capita current dollar statistics,
11000,District of Columbia,10,"  Per capita personal income 6",108233
11000,District of Columbia,11,"  Per capita disposable personal income 7",90740
11000,District of Columbia,12,"  Per capita personal consumption expenditures (PCE) 8",(NA)
11000,District of Columbia,,Price indexes,
11000,District of Columbia,13,"  Regional price parities (RPPs) 9",(NA)
11000,District of Columbia,14,"  Implicit regional price deflator 10",(NA)
11000,District of Columbia,,Employment,
11000,District of Columbia,15,"  Total employment (number of jobs)",(NA)
12000,Florida,,Real dollar statistics,
12000,Florida,1,"  Real GDP (millions of chained 2017 dollars) 1",1339618.6
12000,Florida,2,"  Real personal income (millions of constant (2017) dollars) 2",(NA)
12000,Florida,3,"  Real PCE (millions of constant (2017) dollars) 3",(NA)
12000,Florida,,Current dollar statistics (millions of dollars),
12000,Florida,4,"  Gross domestic product (GDP)",1705564.9
12000,Florida,5,"  Personal income",1645165.7
12000,Florida,6,"  Disposable personal income",1458874.6
12000,Florida,7,"  Personal consumption expenditures",(NA)
12000,Florida,,Real per capita dollar statistics (constant 2017 dollars),
12000,Florida,8,"  Real per capita personal income 4",(NA)
12000,Florida,9,"  Real per capita PCE 5",(NA)
12000,Florida,,Per capita current dollar statistics,
12000,Florida,10,"  Per capita personal income 6",70390
12000,Florida,11,"  Per capita disposable personal income 7",62419
12000,Florida,12,"  Per capita personal consumption expenditures (PCE) 8",(NA)
12000,Florida,,Price indexes,
12000,Florida,13,"  Regional price parities (RPPs) 9",(NA)
12000,Florida,14,"  Implicit regional price deflator 10",(NA)
12000,Florida,,Employment,
12000,Florida,15,"  Total employment (number of jobs)",(NA)
13000,Georgia,,Real dollar statistics,
13000,Georgia,1,"  Real GDP (millions of chained 2017 dollars) 1",701072.8
13000,Georgia,2,"  Real personal income (millions of constant (2017) dollars) 2",(NA)
13000,Georgia,3,"  Real PCE (millions of constant (2017) dollars) 3",(NA)
13000,Georgia,,Current dollar statistics (millions of dollars),
13000,Georgia,4,"  Gross domestic product (GDP)",882534.5
13000,Georgia,5,"  Personal income",697613.8
13000,Georgia,6,"  Disposable personal income",614881.5
13000,Georgia,7,"  Personal consumption expenditures",(NA)
13000,Georgia,,Real per capita dollar statistics (constant 2017 dollars),
13000,Georgia,8,"  Real per capita personal income 4",(NA)
13000,Georgia,9,"  Real per capita PCE 5",(NA)
13000,Georgia,,Per capita current dollar statistics,
13000,Georgia,10,"  Per capita personal income 6",62393
13000,Georgia,11,"  Per capita disposable personal income 7",54994
13000,Georgia,12,"  Per capita personal consumption expenditures (PCE) 8",(NA)
13000,Georgia,,Price indexes,
13000,Georgia,13,"  Regional price parities (RPPs) 9",(NA)
13000,Georgia,14,"  Implicit regional price deflator 10",(NA)
13000,Georgia,,Employment,
13000,Georgia,15,"  Total employment (number of jobs)",(NA)
15000,Hawaii,,Real dollar statistics,
15000,Hawaii,1,"  Real GDP (millions of chained 2017 dollars) 1",90280.2
15000,Hawaii,2,"  Real personal income (millions of constant (2017) dollars) 2",(NA)
15000,Hawaii,3,"  Real PCE (millions of constant (2017) dollars) 3",(NA)
15000,Hawaii,,Current dollar statistics (millions of dollars),
15000,Hawaii,4,"  Gross domestic product (GDP)",115627.2
15000,Hawaii,5,"  Personal income",100536.6
15000,Hawaii,6,"  Disposable personal income",88272.1
15000,Hawaii,7,"  Personal consumption expenditures",(NA)
15000,Hawaii,,Real per capita dollar statistics (constant 2017 dollars),
15000,Hawaii,8,"  Real per capita personal income 4",(NA)
15000,Hawaii,9,"  Real per capita PCE 5",(NA)
15000,Hawaii,,Per capita current dollar statistics,
15000,Hawaii,10,"  Per capita personal income 6",69520
15000,Hawaii,11,"  Per capita disposable personal income 7",61040
15000,Hawaii,12,"  Per capita personal consumption expenditures (PCE) 8",(NA)
15000,Hawaii,,Price indexes,
15000,Hawaii,13,"  Regional price parities (RPPs) 9",(NA)
15000,Hawaii,14,"  Implicit regional price deflator 10",(NA)
15000,Hawaii,,Employment,
15000,Hawaii,15,"  Total employment (number of jobs)",(NA)
16000,Idaho,,Real dollar statistics,
16000,Idaho,1,"  Real GDP (millions of chained 2017 dollars) 1",99603.0
16000,Idaho,2,"  Real personal income (millions of constant (2017) dollars) 2",(NA)
16000,Idaho,3,"  Real PCE (millions of constant (2017) dollars) 3",(NA)
16000,Idaho,,Current dollar statistics (millions of dollars),
16000,Idaho,4,"  Gross domestic product (GDP)",128132.1
16000,Idaho,5,"  Personal income",123771.9
16000,Idaho,6,"  Disposable personal income",110277.1
16000,Idaho,7,"  Personal consumption expenditures",(NA)
16000,Idaho,,Real per capita dollar statistics (constant 2017 dollars),
16000,Idaho,8,"  Real per capita personal income 4",(NA)
16000,Idaho,9,"  Real per capita PCE 5",(NA)
16000,Idaho,,Per capita current dollar statistics,
16000,Idaho,10,"  Per capita personal income 6",61836
16000,Idaho,11,"  Per capita disposable personal income 7",55094
16000,Idaho,12,"  Per capita personal consumption expenditures (PCE) 8",(NA)
16000,Idaho,,Price indexes,
16000,Idaho,13,"  Regional price parities (RPPs) 9",(NA)
16000,Idaho,14,"  Implicit regional price deflator 10",(NA)
16000,Idaho,,Employment,
16000,Idaho,15,"  Total employment (number of jobs)",(NA)
17000,Illinois,,Real dollar statistics,
17000,Illinois,1,"  Real GDP (millions of chained 2017 dollars) 1",895342.5
17000,Illinois,2,"  Real personal income (millions of constant (2017) dollars) 2",(NA)
17000,Illinois,3,"  Real PCE (millions of constant (2017) dollars) 3",(NA)
17000,Illinois,,Current dollar statistics (millions of dollars),
17000,Illinois,4,"  Gross domestic product (GDP)",1137243.6
17000,Illinois,5,"  Personal income",943054.6
17000,Illinois,6,"  Disposable personal income",821465.3
17000,Illinois,7,"  Personal consumption expenditures",(NA)
17000,Illinois,,Real per capita dollar statistics (constant 2017 dollars),
17000,Illinois,8,"  Real per capita personal income 4",(NA)
17000,Illinois,9,"  Real per capita PCE 5",(NA)
17000,Illinois,,Per capita current dollar statistics,
17000,Illinois,10,"  Per capita personal income 6",74197
17000,Illinois,11,"  Per capita disposable personal income 7",64631
17000,Illinois,12,"  Per capita personal consumption expenditures (PCE) 8",(NA)
17000,Illinois,,Price indexes,
17000,Illinois,13,"  Regional price parities (RPPs) 9",(NA)
17000,Illinois,14,"  Implicit regional price deflator 10",(NA)
17000,Illinois,,Employment,
17000,Illinois,15,"  Total employment (number of jobs)",(NA)
18000,Indiana,,Real dollar statistics,
18000,Indiana,1,"  Real GDP (millions of chained 2017 dollars) 1",419472.8
18000,Indiana,2,"  Real personal income (millions of constant (2017) dollars) 2",(NA)
18000,Indiana,3,"  Real PCE (millions of constant (2017) dollars) 3",(NA)
18000,Indiana,,Current dollar statistics (millions of dollars),
18000,Indiana,4,"  Gross domestic product (GDP)",527381.1
18000,Indiana,5,"  Personal income",441783.2
18000,Indiana,6,"  Disposable personal income",394223.7
18000,Indiana,7,"  Personal consumption expenditures",(NA)
18000,Indiana,,Real per capita dollar statistics (constant 2017 dollars),
18000,Indiana,8,"  Real per capita personal income 4",(NA)
18000,Indiana,9,"  Real per capita PCE 5",(NA)
18000,Indiana,,Per capita current dollar statistics,
18000,Indiana,10,"  Per capita personal income 6",63802
18000,Indiana,11,"  Per capita disposable personal income 7",56934
18000,Indiana,12,"  Per capita personal consumption expenditures (PCE) 8",(NA)
18000,Indiana,,Price indexes,
18000,Indiana,13,"  Regional price parities (RPPs) 9",(NA)
18000,Indiana,14,"  Implicit regional price deflator 10",(NA)
18000,Indiana,,Employment,
18000,Indiana,15,"  Total employment (number of jobs)",(NA)
19000,Iowa,,Real dollar statistics,
19000,Iowa,1,"  Real GDP (millions of chained 2017 dollars) 1",201096.8
19000,Iowa,2,"  Real personal income (millions of constant (2017) dollars) 2",(NA)
19000,Iowa,3,"  Real PCE (millions of constant (2017) dollars) 3",(NA)
19000,Iowa,,Current dollar statistics (millions of dollars),
19000,Iowa,4,"  Gross domestic product (GDP)",257020.8
19000,Iowa,5,"  Personal income",206072.4
19000,Iowa,6,"  Disposable personal income",185114.4
19000,Iowa,7,"  Personal consumption expenditures",(NA)
19000,Iowa,,Real per capita dollar statistics (constant 2017 dollars),
19000,Iowa,8,"  Real per capita personal income 4",(NA)
19000,Iowa,9,"  Real per capita PCE 5",(NA)
19000,Iowa,,Per capita current dollar statistics,
19000,Iowa,10,"  Per capita personal income 6",63573
19000,Iowa,11,"  Per capita disposable personal income 7",57108
19000,Iowa,12,"  Per capita personal consumption expenditures (PCE) 8",(NA)
19000,Iowa,,Price indexes,
19000,Iowa,13,"  Regional price parities (RPPs) 9",(NA)
19000,Iowa,14,"  Implicit regional price deflator 10",(NA)
19000,Iowa,,Employment,
19000,Iowa,15,"  Total employment (number of jobs)",(NA)
20000,Kansas,,Real dollar statistics,
20000,Kansas,1,"  Real GDP (millions of chained 2017 dollars) 1",185720.9
20000,Kansas,2,"  Real personal income (millions of constant (2017) dollars) 2",(NA)
20000,Kansas,3,"  Real PCE (millions of constant (2017) dollars) 3",(NA)
20000,Kansas,,Current dollar statistics (millions of dollars),
20000,Kansas,4,"  Gross domestic product (GDP)",234673.2
20000,Kansas,5,"  Personal income",202115.4
20000,Kansas,6,"  Disposable personal income",180414.3
20000,Kansas,7,"  Personal consumption expenditures",(NA)
20000,Kansas,,Real per capita dollar statistics (constant 2017 dollars),
20000,Kansas,8,"  Real per capita personal income 4",(NA)
20000,Kansas,9,"  Real per capita PCE 5",(NA)
20000,Kansas,,Per capita current dollar statistics,
20000,Kansas,10,"  Per capita personal income 6",68038
20000,Kansas,11,"  Per capita disposable personal income 7",60733
20000,Kansas,12,"  Per capita personal consumption expenditures (PCE) 8",(NA)
20000,Kansas,,Price indexes,
20000,Kansas,13,"  Regional price parities (RPPs) 9",(NA)
20000,Kansas,14,"  Implicit regional price deflator 10",(NA)
20000,Kansas,,Employment,
20000,Kansas,15,"  Total employment (number of jobs)",(NA)
21000,Kentucky,,Real dollar statistics,
21000,Kentucky,1,"  Real GDP (millions of chained 2017 dollars) 1",229885.4
21000,Kentucky,2,"  Real personal income (millions of constant (2017) dollars) 2",(NA)
21000,Kentucky,3,"  Real PCE (millions of constant (2017) dollars) 3",(NA)
21000,Kentucky,,Current dollar statistics (millions of dollars),
21000,Kentucky,4,"  Gross domestic product (GDP)",293021.0
21000,Kentucky,5,"  Personal income",263950.7
21000,Kentucky,6,"  Disposable personal income",237254.0
21000,Kentucky,7,"  Personal consumption expenditures",(NA)
21000,Kentucky,,Real per capita dollar statistics (constant 2017 dollars),
21000,Kentucky,8,"  Real per capita personal income 4",(NA)
21000,Kentucky,9,"  Real per capita PCE 5",(NA)
21000,Kentucky,,Per capita current dollar statistics,
21000,Kentucky,10,"  Per capita personal income 6",57526
21000,Kentucky,11,"  Per capita disposable personal income 7",51708
21000,Kentucky,12,"  Per capita personal consumption expenditures (PCE) 8",(NA)
21000,Kentucky,,Price indexes,
21000,Kentucky,13,"  Regional price parities (RPPs) 9",(NA)
21000,Kentucky,14,"  Implicit regional price deflator 10",(NA)
21000,Kentucky,,Employment,
21000,Kentucky,15,"  Total employment (number of jobs)",(NA)
22000,Louisiana,,Real dollar statistics,
22000,Louisiana,1,"  Real GDP (millions of chained 2017 dollars) 1",256422.3
22000,Louisiana,2,"  Real personal income (millions of constant (2017) dollars) 2",(NA)
22000,Louisiana,3,"  Real PCE (millions of constant (2017) dollars) 3",(NA)
22000,Louisiana,,Current dollar statistics (millions of dollars),
22000,Louisiana,4,"  Gross domestic product (GDP)",327782.1
22000,Louisiana,5,"  Personal income",281987.1
22000,Louisiana,6,"  Disposable personal income",256671.3
22000,Louisiana,7,"  Personal consumption expenditures",(NA)
22000,Louisiana,,Real per capita dollar statistics (constant 2017 dollars),
22000,Louisiana,8,"  Real per capita personal income 4",(NA)
22000,Louisiana,9,"  Real per capita PCE 5",(NA)
22000,Louisiana,,Per capita current dollar statistics,
22000,Louisiana,10,"  Per capita personal income 6",61332
22000,Louisiana,11,"  Per capita disposable personal income 7",55826
22000,Louisiana,12,"  Per capita personal consumption expenditures (PCE) 8",(NA)
22000,Louisiana,,Price indexes,
22000,Louisiana,13,"  Regional price parities (RPPs) 9",(NA)
22000,Louisiana,14,"  Implicit regional price deflator 10",(NA)
22000,Louisiana,,Employment,
22000,Louisiana,15,"  Total employment (number of jobs)",(NA)
23000,Maine,,Real dollar statistics,
23000,Maine,1,"  Real GDP (millions of chained 2017 dollars) 1",77477.5
23000,Maine,2,"  Real personal income (millions of constant (2017) dollars) 2",(NA)
23000,Maine,3,"  Real PCE (millions of constant (2017) dollars) 3",(NA)
23000,Maine,,Current dollar statistics (millions of dollars),
23000,Maine,4,"  Gross domestic product (GDP)",98606.0
23000,Maine,5,"  Personal income",95722.5
23000,Maine,6,"  Disposable personal income",85342.4
23000,Maine,7,"  Personal consumption expenditures",(NA)
23000,Maine,,Real per capita dollar statistics (constant 2017 dollars),
23000,Maine,8,"  Real per capita personal income 4",(NA)
23000,Maine,9,"  Real per capita PCE 5",(NA)
23000,Maine,,Per capita current dollar statistics,
23000,Maine,10,"  Per capita personal income 6",68129
23000,Maine,11,"  Per capita disposable personal income 7",60741
23000,Maine,12,"  Per capita personal consumption expenditures (PCE) 8",(NA)
23000,Maine,,Price indexes,
23000,Maine,13,"  Regional price parities (RPPs) 9",(NA)
23000,Maine,14,"  Implicit regional price deflator 10",(NA)
23000,Maine,,Employment,
23000,Maine,15,"  Total employment (number of jobs)",(NA)
24000,Maryland,,Real dollar statistics,
24000,Maryland,1,"  Real GDP (millions of chained 2017 dollars) 1",432192.7
24000,Maryland,2,"  Real personal income (millions of constant (2017) dollars) 2",(NA)
24000,Maryland,3,"  Real PCE (millions of constant (2017) dollars) 3",(NA)
24000,Maryland,,Current dollar statistics (millions of dollars),
24000,Maryland,4,"  Gross domestic product (GDP)",542765.8
24000,Maryland,5,"  Personal income",491898.3
24000,Maryland,6,"  Disposable personal income",421238.3
24000,Maryland,7,"  Personal consumption expenditures",(NA)
24000,Maryland,,Real per capita dollar statistics (constant 2017 dollars),
24000,Maryland,8,"  Real per capita personal income 4",(NA)
24000,Maryland,9,"  Real per capita PCE 5",(NA)
24000,Maryland,,Per capita current dollar statistics,
24000,Maryland,10,"  Per capita personal income 6",78538
24000,Maryland,11,"  Per capita disposable personal income 7",67256
24000,Maryland,12,"  Per capita personal consumption expenditures (PCE) 8",(NA)
24000,Maryland,,Price indexes,
24000,Maryland,13,"  Regional price parities (RPPs) 9",(NA)
24000,Maryland,14,"  Implicit regional price deflator 10",(NA)
24000,Maryland,,Employment,
24000,Maryland,15,"  Total employment (number of jobs)",(NA)
25000,Massachusetts,,Real dollar statistics,
25000,Massachusetts,1,"  Real GDP (millions of chained 2017 dollars) 1",633617.6
25000,Massachusetts,2,"  Real personal income (millions of constant (2017) dollars) 2",(NA)
25000,Massachusetts,3,"  Real PCE (millions of constant (2017) dollars) 3",(NA)
25000,Massachusetts,,Current dollar statistics (millions of dollars),
25000,Massachusetts,4,"  Gross domestic product (GDP)",780666.2
25000,Massachusetts,5,"  Personal income",670282.6
25000,Massachusetts,6,"  Disposable personal income",561994.0
25000,Massachusetts,7,"  Personal consumption expenditures",(NA)
25000,Massachusetts,,Real per capita dollar statistics (constant 2017 dollars),
25000,Massachusetts,8,"  Real per capita personal income 4",(NA)
25000,Massachusetts,9,"  Real per capita PCE 5",(NA)
25000,Massachusetts,,Per capita current dollar statistics,
25000,Massachusetts,10,"  Per capita personal income 6",93927
25000,Massachusetts,11,"  Per capita disposable personal income 7",78753
25000,Massachusetts,12,"  Per capita personal consumption expenditures (PCE) 8",(NA)
25000,Massachusetts,,Price indexes,
25000,Massachusetts,13,"  Regional price parities (RPPs) 9",(NA)
25000,Massachusetts,14,"  Implicit regional price deflator 10",(NA)
25000,Massachusetts,,Employment,
25000,Massachusetts,15,"  Total employment (number of jobs)",(NA)
26000,Michigan,,Real dollar statistics,
26000,Michigan,1,"  Real GDP (millions of chained 2017 dollars) 1",566033.3
26000,Michigan,2,"  Real personal income (millions of constant (2017) dollars) 2",(NA)
26000,Michigan,3,"  Real PCE (millions of constant (2017) dollars) 3",(NA)
26000,Michigan,,Current dollar statistics (millions of dollars),
26000,Michigan,4,"  Gross domestic product (GDP)",706615.8
26000,Michigan,5,"  Personal income",641085.2
26000,Michigan,6,"  Disposable personal income",572794.0
